Ldim_ID,Mouse_Prot_ID,Gene_Name,Identity,Length,Mism,Gap,qs,qe,ss,se,Evalue,Bitscore
g10440,NP_001103441.1,Sec61g,100,68,0,0,1,68,1,68,2.22E-42,133
g1098,NP_001182350.1,H4c17,100,98,0,0,1,98,1,98,1.12E-61,184
g1150,NP_001407059.1,Cdc42,100,153,0,0,1,153,1,153,2.26E-110,313
g12914,NP_075029.1,Rpl23,100,140,0,0,1,140,1,140,3.03E-96,275
g13024,NP_001158052.1,Mosmo,100,167,0,0,1,167,1,167,1.16E-122,343
g13769,NP_032236.1,H3f3a,100,136,0,0,1,136,1,136,6.42E-87,251
g14032,NP_081013.1,Phf5a,100,110,0,0,1,110,1,110,1.04E-84,243
g1436,NP_001398756.1,Rab2a,100,158,0,0,1,158,1,158,3.05E-109,313
g17076,NP_001281187.1,Dda1,100,44,0,0,4,47,2,45,1.32E-26,95.9
g17093,NP_001029037.1,Rps27a,100,76,0,0,1,76,1,76,4.98E-47,150
g17654,NP_001191202.1,Lsm2,100,22,0,0,2,23,38,59,2.27E-07,46.2
g17770,NP_001269666.1,Magoh,100,144,0,0,4,147,3,146,1.37E-102,291
g18322,XP_030100100.1,Tpm1,100,26,0,0,259,284,223,248,7.00E-08,54.3
g183222,NP_001157723.1,Tpm1,100,26,0,0,259,284,259,284,8.84E-08,54.3
g18427,XP_006520325.1,Tafa5,100,49,0,0,32,80,39,87,2.42E-27,99.8
g2046,NP_001263279.1,Epc1,100,51,0,0,1,51,1,51,2.26E-26,104
g20683,NP_077779.2,Ppp3r1,100,170,0,0,1,170,1,170,2.00E-120,338
g20773,NP_001300913.1,Ubb,100,76,0,0,1,76,229,304,2.58E-44,149
g20839,NP_001300863.1,Calm1,100,148,0,0,2,149,50,197,1.26E-66,202
g21167,NP_080331.1,Rpl39,100,36,0,0,1,36,1,36,7.94E-19,73.9
g21172,NP_062642.1,Ube2a,100,152,0,0,1,152,1,152,8.11E-109,307
g22600,NP_001342439.1,Arf3,100,181,0,0,1,181,1,181,5.64E-130,363
g22922,XP_036020107.1,Tmem240,100,37,0,0,1,37,176,212,5.82E-20,85.9
g2559,NP_084214.1,H2az2,100,128,0,0,1,128,1,128,1.62E-83,241
g2592,NP_001277982.1,Ypel1,100,79,0,0,40,118,10,88,2.54E-56,171
g543,NP_001163956.1,Arpc4,100,90,0,0,79,168,2,91,1.44E-59,181
g548,NP_001408753.1,Sec61a2,100,74,0,0,1,74,1,74,1.37E-45,155
g5831,NP_001344297.1,Ypel5,100,121,0,0,1,121,1,121,8.56E-87,249
g68672,XP_011237477.1,Dab2ip,100,24,0,0,4,27,937,960,8.51E-07,45.4
g7084,NP_080973.1,Rab14,100,215,0,0,1,215,1,215,1.43E-142,398
g9072,NP_038576.1,H3c7,100,136,0,0,1,136,1,136,9.13E-87,250
g9171,NP_001153798.1,Serp2,100,52,0,0,1,52,1,52,7.41E-32,107
g5838,NP_033738.1,Actc1,99.7,377,1,0,1,377,1,377,6.11E-282,764
g22100,NP_035784.1,Tuba1b,99.6,451,2,0,1,451,1,451,0,913
g22101,NP_035783.1,Tuba1a,99.6,451,2,0,1,451,1,451,0,915
g199902,NP_001290374.1,Csnk2b,99.5,215,1,0,1,215,1,215,1.30E-163,451
g21423,NP_080605.1,Polr2g,99.4,172,1,0,1,172,1,172,4.18E-123,345
g218322,NP_666199.1,Csnk1a1,99.4,324,2,0,1,324,1,324,3.80E-221,606
g22388,NP_001106670.1,Naca,99.4,158,1,0,58,215,2030,2187,2.41E-86,280
g5843,NP_001332982.1,Meis2,99.4,313,2,0,87,399,1,313,4.31E-208,575
g10033,NP_079713.2,Eif1ax,99.3,144,1,0,1,144,1,144,1.72E-88,255
g11920,NP_001343234.1,Lmo3,99.3,145,1,0,56,200,1,145,3.96E-111,315
g13080,NP_001276828.1,Csnk1e,99.3,298,2,0,1,298,1,298,6.49E-220,608
