Ldim_ID,Zebra_Prot_ID,Gene_Name,Identity,Length,Mism,Gap,qs,qe,ss,se,Evalue,Bitscore
g19268,lcl|NC_133191.1_prot_NP_942113.1_58131,tubb5,100.0,444,0,0,1,444,1,444,0.0,892.0
g7007,lcl|NC_133196.1_prot_XP_073791021.1_74990,mapk10,100.0,380,0,0,1,380,1,380,6.54e-283,769.0
g16429,lcl|NC_133195.1_prot_NP_001001409.2_72270,actc1a,100.0,377,0,0,1,377,1,377,2.34e-282,765.0
g5838,lcl|NC_133195.1_prot_NP_001002066.1_71280,actc2,100.0,377,0,0,1,377,1,377,1.64e-282,765.0
g6732,lcl|NC_133180.1_prot_XP_073807362.1_20949,si:ch211-202a12.4,100.0,304,0,0,1,304,305,608,1e-209,590.0
g5247,lcl|NC_133194.1_prot_NP_571262.1_69433,csnk2b,100.0,215,0,0,1,215,1,215,4.96e-164,452.0
g1150,lcl|NC_133186.1_prot_NP_956926.1_45094,cdc42,100.0,191,0,0,1,191,1,191,3.2699999999999998e-139,387.0
g22600,lcl|NC_133181.1_prot_NP_001012248.1_23221,arf3b,100.0,181,0,0,1,181,1,181,6.18e-130,363.0
g6011,lcl|NC_133192.1_prot_NP_001154847.1_64386,arf6b,100.0,175,0,0,1,175,1,175,9.21e-129,360.0
g13024,lcl|NC_133178.1_prot_XP_003198233.1_12080,mosmoa,100.0,167,0,0,1,167,1,167,1.27e-122,343.0
g20683,lcl|NC_133176.1_prot_NP_001004553.1_3150,ppp3r1b,100.0,170,0,0,1,170,1,170,2.19e-120,338.0
g11015,lcl|NC_133182.1_prot_NP_775326.1_28843,lmo1,100.0,155,0,0,1,155,1,155,1.93e-118,332.0
g543,lcl|NC_133181.1_prot_NP_991100.1_25567,arpc4,100.0,168,0,0,1,168,1,168,1.17e-114,323.0
g11920,lcl|NC_133179.1_prot_NP_001018575.1_13650,lmo3,100.0,145,0,0,56,200,1,145,1.51e-111,316.0
g21172,lcl|NC_133189.1_prot_NP_958430.1_53468,ube2a,100.0,152,0,0,1,152,1,152,8.89e-109,307.0
g15638,lcl|NC_133176.1_prot_XP_005160183.1_3151,ppp3r1b,100.0,155,0,0,16,170,12,166,4.99e-107,304.0
g17770,lcl|NC_133183.1_prot_NP_001017700.1_33028,magoh,100.0,147,0,0,1,147,1,147,5.63e-105,297.0
g60,lcl|NC_133186.1_prot_NP_001103591.1_45263,rps23,100.0,143,0,0,1,143,1,143,3.17e-100,285.0
g8173,lcl|NC_133195.1_prot_XP_073788245.1_72806,snap25a,100.0,141,0,0,51,191,1,141,1.68e-98,283.0
g19231,lcl|NC_133191.1_prot_NP_001003494.1_61162,ube2e2,100.0,126,0,0,64,189,76,201,9.04e-93,270.0
g13769,lcl|NC_133178.1_prot_NP_998161.1_11495,h3f3a,100.0,136,0,0,1,136,1,136,7.03e-87,251.0
g9072,lcl|NC_133182.1_prot_XP_068078624.1_27291,LOC137496131,100.0,136,0,0,1,136,1,136,9.99e-87,250.0
g11663,lcl|NC_133182.1_prot_NP_001373716.1_31611,LOC108190746,100.0,136,0,0,1,136,1,136,2.02e-86,249.0
g14032,lcl|NC_133187.1_prot_XP_073774512.1_46741,phf5a,100.0,110,0,0,1,110,1,110,1.14e-84,243.0
g2559,lcl|NC_133180.1_prot_NP_705930.1_18584,h2az2a,100.0,128,0,0,1,128,1,128,1.77e-83,241.0
g13060,lcl|NC_133178.1_prot_NP_001077013.1_10035,rbx1,100.0,108,0,0,14,121,1,108,1.98e-83,240.0
g14504,lcl|NC_133182.1_prot_NP_001373316.1_31300,gabarapb,100.0,116,0,0,1,116,1,116,4.42e-80,232.0
g10324,lcl|NC_133199.1_prot_XP_073796371.1_85279,naa50,100.0,111,0,0,1,111,1,111,9.24e-79,231.0
g20839,lcl|NC_133187.1_prot_NP_999901.1_47060,calm2b,100.0,149,0,0,1,149,1,149,5.0299999999999985e-68,204.0
g8974,lcl|NC_133196.1_prot_NP_001073527.1_77215,pou4f4,100.0,98,0,0,1,98,246,343,5.900000000000002e-59,185.0
g1098,lcl|NC_133180.1_prot_NP_001070058.1_19631,zgc:153409,100.0,98,0,0,1,98,1,98,1.23e-61,184.0
g9290,lcl|NC_133184.1_prot_NP_001002677.2_36366,sumo3b,100.0,92,0,0,1,92,1,92,1.37e-61,184.0
g5118,lcl|NC_133194.1_prot_NP_956322.1_69689,rpl30,100.0,77,0,0,1,77,37,113,1.81e-52,160.0
g272,lcl|NC_133181.1_prot_NP_775358.1_26547,snrpc,100.0,69,0,0,1,69,1,69,4.5e-47,151.0
g17093,lcl|NC_133181.1_prot_NP_956796.1_23103,rps27a,100.0,76,0,0,1,76,1,76,5.45e-47,150.0
g20773,lcl|NC_133177.1_prot_NP_001032190.1_7852,uba52,100.0,76,0,0,1,76,1,76,1.9e-46,149.0
g448,lcl|NC_133186.1_prot_NP_001002097.1_44818,brk1,100.0,75,0,0,1,75,1,75,1.27e-47,147.0
g14751,lcl|NC_133177.1_prot_NP_001002557.1_6814,nedd8l,100.0,76,0,0,1,76,1,76,9.9e-47,145.0
g10998,lcl|NC_133182.1_prot_NP_001153297.1_27584,polr2l,100.0,67,0,0,1,67,1,67,1.7099999999999997e-46,143.0
g2401,lcl|NC_133180.1_prot_XP_073808310.1_19706,traf2a,100.0,69,0,0,1,69,507,575,1.3e-40,140.0
g11558,lcl|NC_133182.1_prot_NP_001018441.1_28950,gtf2a2,100.0,101,0,0,1,101,1,101,6.88e-43,139.0
g5464,lcl|NC_133177.1_prot_NP_001002397.1_6559,gng7,100.0,68,0,0,1,68,1,68,8.480000000000001e-43,134.0
g10440,lcl|NC_133199.1_prot_NP_001002499.2_85082,sec61g,100.0,68,0,0,1,68,1,68,2.44e-42,133.0
g13644,lcl|NC_133187.1_prot_NP_001002486.1_47934,rpl38,100.0,70,0,0,1,70,1,70,1.14e-41,131.0
g19715,lcl|NC_133191.1_prot_XP_073780829.1_58983,rps27.2,100.0,52,0,0,33,84,1,52,4.65e-35,115.0
g6368,lcl|NC_133188.1_prot_NP_001002478.1_50141,sf3b5,100.0,49,0,0,1,49,1,49,9.96e-35,114.0
g9171,lcl|NC_133184.1_prot_NP_001289406.1_36637,serp2,100.0,52,0,0,1,52,1,52,8.120000000000001e-32,107.0
g14617,lcl|NC_133182.1_prot_XP_073763508.1_30852,col25a1,100.0,32,0,0,157,188,23,54,4.35e-11,68.2
g18322,lcl|NC_133194.1_prot_XP_005159431.1_68638,tpm3,100.0,26,0,0,259,284,259,284,9.69e-08,54.3
g11199,lcl|NC_133200.1_prot_NP_001280097.1_89429,tpm1,100.0,26,0,0,1,26,1,26,5.15e-08,50.1
g17331,lcl|NC_133185.1_prot_NP_001002119.1_39628,tpm2,100.0,26,0,0,1,26,1,26,8.42e-08,49.7
g6846,lcl|NC_133177.1_prot_XP_073768425.1_7805,tpm4b,100.0,26,0,0,1,26,1,26,3.34e-06,49.7
g14806,lcl|NC_133177.1_prot_NP_001154960.1_6760,pcp4l1,100.0,25,0,0,39,63,47,71,1.05e-08,48.1
g12748,lcl|NC_133178.1_prot_NP_001070183.1_11650,tubb4bl,99.8,444,1,0,1,444,1,444,0.0,892.0
g18286,lcl|NC_133193.1_prot_XP_073785004.1_65952,arih1,99.7,349,1,0,180,528,1,349,6.550000000000001e-273,746.0
g12619,lcl|NC_133178.1_prot_NP_956363.1_10497,dcaf7,99.7,342,1,0,1,342,1,342,3.09e-267,724.0
g1352,lcl|NC_133177.1_prot_XP_005163549.1_6448,klhl20,99.7,384,1,0,19,402,1,384,7.03e-252,706.0
g126861,lcl|NC_133178.1_prot_XP_005164276.1_11539,elavl3,99.7,359,1,0,1,359,1,359,4.9e-259,704.0
g12686,lcl|NC_133178.1_prot_XP_005164277.1_11535,elavl3,99.7,358,1,0,1,358,1,358,1.8500000000000002e-258,703.0
g10880,lcl|NC_133186.1_prot_NP_001077042.1_43209,psmd14,99.7,309,1,0,1,309,1,309,4.639999999999998e-221,604.0
g13330,lcl|NC_133178.1_prot_NP_001070091.1_9009,prkar1b,99.7,322,1,0,2,323,59,380,1.11e-214,592.0
g23030,lcl|NC_133181.1_prot_NP_998646.1_26495,gnb1b,99.7,340,1,0,1,340,1,340,1.1e-202,560.0
g22101,lcl|NC_133198.1_prot_NP_001177911.1_83363,tuba1a,99.6,451,2,0,1,451,1,451,0.0,915.0
g22100,lcl|NC_133198.1_prot_NP_001098596.2_83362,tuba1c,99.6,451,2,0,1,451,1,451,0.0,912.0
g2390,lcl|NC_133183.1_prot_NP_001032487.2_35489,tubb2b,99.6,445,2,0,1,445,28,472,0.0,892.0
g1655,lcl|NC_133177.1_prot_NP_997742.1_4816,ap2m1a,99.5,436,2,0,1,436,1,436,8.25e-319,862.0
g13557,lcl|NC_133187.1_prot_NP_997785.2_46521,acta2,99.5,377,2,0,1,377,1,377,2.34e-282,765.0
